	early planula	late planula	polyp	early strobila	late strobila	ephyra	juvenile
evm.model.Seg1479.7	0.181	0.245	0.973	1.4303	2.0037	2.1443	1.912
sp|Q03427|LAMC_DROME^sp|Q03427|LAMC_DROME^Q:436-1578	4.118	2.31	12.0823	3.5937	9.1167	79.777	32.926
evm.model.Seg14803.1	0.7505	0.3055	5.493	12.366	48.4047	37.9827	29.4145
sp|P98106|LYAM3_RAT^sp|P98106|LYAM3_RAT^Q:3-305	0.562	0.4855	11.0533	9.8353	25.3663	14.9333	31.6835
sp|P17213|BPI_HUMAN^sp|P17213|BPI_HUMAN^Q:251-1603	50.8305	11.4425	48.3183	46.792	46.7973	62.1937	67.5975
sp|Q9MAG3|AB24G_ARATH^sp|Q9MAG3|AB24G_ARATH^Q:1154-2920	1.349	1.737	7.5077	15.7063	42.6363	53.48	38.12
sp|P34969|5HT7R_HUMAN^sp|P34969|5HT7R_HUMAN^Q:546-1520	0.0	0.0175	0.2217	0.0517	0.7513	0.2787	0.735
sp|Q91XP5|GLRA3_MOUSE^sp|Q91XP5|GLRA3_MOUSE^Q:6-461	1.0645	0.1895	1.2263	1.286	1.7253	4.3257	2.8235
sp|Q96RW7|HMCN1_HUMAN^sp|Q96RW7|HMCN1_HUMAN^Q:424-1116	2.484	0.136	1.6547	3.731	25.6283	39.3553	51.532
sp|Q9TWL9|COMA_CONMA^sp|Q9TWL9|COMA_CONMA^Q:249-425	0.912	0.494	7.051	18.6247	25.4177	30.924	44.214
sp|Q9TWL9|COMA_CONMA^sp|Q9TWL9|COMA_CONMA^Q:823-1011	3.7005	0.1635	1.3673	0.9973	1.426	6.6307	11.6545
sp|Q17237|SGF3_BOMMO^sp|Q17237|SGF3_BOMMO^Q:604-1176	0.155	0.0	0.4017	0.588	4.039	1.0963	1.562
sp|P49275|DERF3_DERFA^sp|P49275|DERF3_DERFA^Q:570-1190	0.1355	0.1065	1.9883	0.443	1.9657	1.4443	1.48
sp|Q569D5|SBP1_XENTR^sp|Q569D5|SBP1_XENTR^Q:841-1347	1.5505	1.4855	9.3427	7.8663	5.6457	5.177	7.411
sp|Q0P6H9|TMM62_HUMAN^sp|Q0P6H9|TMM62_HUMAN^Q:82-1176	4.2875	1.4795	1.883	0.5957	0.0	10.019	9.253
sp|Q9NR33|DPOE4_HUMAN^sp|Q9NR33|DPOE4_HUMAN^Q:152-403	4.03	3.848	5.9697	15.7823	8.6747	7.661	34.4175
evm.model.Seg1529.9	0.1615	0.037	0.149	1.434	1.8903	2.5913	1.9335
sp|Q8NDA2|HMCN2_HUMAN^sp|Q8NDA2|HMCN2_HUMAN^Q:340-1524	2.8305	0.7215	0.568	0.3407	3.483	10.1733	17.7635
sp|P49010|HEXC_BOMMO^sp|P49010|HEXC_BOMMO^Q:1-696	1.558	0.3475	87.697	59.6743	14.4887	18.273	65.5765
sp|Q5R1S9|CAF1B_CHICK^sp|Q5R1S9|CAF1B_CHICK^Q:23-1039	2.153	0.0	5.059	10.0503	9.5127	7.8247	29.459
sp|P04813|CTR2_CANLF^sp|P04813|CTR2_CANLF^Q:47-553	8.53	0.298	1817.4243	1096.441	226.157	136.1593	555.191
evm.model.Seg154.14	78.4945	46.783	92.038	3216.634	2788.1563	8942.894	13994.0575
sp|P04813|CTR2_CANLF^sp|P04813|CTR2_CANLF^Q:244-963	3.214	0.5735	161.1583	151.2357	430.7353	450.7957	1310.9375
sp|P04813|CTR2_CANLF^sp|P04813|CTR2_CANLF^Q:7-792	4.997	1.691	58.4917	72.135	25.795	23.1677	36.7265
sp|Q9D8G5|REG4_MOUSE^sp|Q9D8G5|REG4_MOUSE^Q:1147-1500	0.9555	0.0	0.3743	0.604	2.664	2.3373	3.0275
evm.model.Seg1563.1	0.097	0.0	0.3323	1.6793	1.488	0.4293	1.052
sp|Q61555|FBN2_MOUSE^sp|Q61555|FBN2_MOUSE^Q:1315-6159	7.773	20.0015	31.5953	43.1437	156.3347	120.763	137.4015
evm.model.Seg1575.1	23.153	0.5505	8.4983	9.467	32.2707	280.138	583.0185
sp|Q08464|FZD2_RAT^sp|Q08464|FZD2_RAT^Q:1103-1456	0.5285	0.187	0.9183	0.2337	0.6813	0.4683	3.7215
sp|O18783|PLMN_MACEU^sp|O18783|PLMN_MACEU^Q:73-351	0.669	0.0	1.3127	2.0693	12.0523	20.6853	29.68
sp|Q03356|MSXB_DANRE^sp|Q03356|MSXB_DANRE^Q:458-766	1.278	1.094	0.3417	4.7817	4.132	4.576	9.335
sp|P80205|OTX1_MOUSE^sp|P80205|OTX1_MOUSE^Q:336-581	0.2005	1.6915	1.4777	4.1177	4.8563	8.1453	14.861
sp|Q9PT61|OTX5B_XENLA^sp|Q9PT61|OTX5B_XENLA^Q:495-740	1.9245	2.809	15.4113	7.028	11.1137	9.984	12.0485
sp|D3YXG0|HMCN1_MOUSE^sp|D3YXG0|HMCN1_MOUSE^Q:503-1567	0.5585	0.354	0.296	0.272	0.3837	3.3327	8.386
sp|Q94887|NRX4_DROME^sp|Q94887|NRX4_DROME^Q:36-311	0.208	0.0745	0.6477	0.4717	0.3993	0.3443	0.6295
evm.model.Seg1583.2	0.6085	0.1405	1.038	0.5147	1.4187	12.9033	40.998
evm.model.Seg1585.11	0.0195	0.0	0.133	1.0517	4.8123	3.824	2.29
evm.model.Seg1585.2.2.57f48f77	2.004	0.4015	1.4287	2.7587	2.4097	3.2413	4.028
sp|P21127|CD11B_HUMAN^sp|P21127|CD11B_HUMAN^Q:1743-1889	0.3075	0.071	1.105	7.9953	8.33	1.989	2.629
evm.model.Seg1586.2	0.0775	0.0	0.123	0.2623	3.097	4.2063	1.299
sp|Q0V8R6|HEXA_BOVIN^sp|Q0V8R6|HEXA_BOVIN^Q:145-1317	23.21	38.5815	46.278	100.6277	49.332	38.9847	51.0765
evm.model.Seg159.11	0.528	1.224	1.6487	6.572	10.3383	17.8127	16.4815
sp|Q96RW7|HMCN1_HUMAN^sp|Q96RW7|HMCN1_HUMAN^Q:291-1304(167)	0.0	0.0	0.307	1.5237	0.9617	0.0	3.362
sp|Q96RW7|HMCN1_HUMAN^sp|Q96RW7|HMCN1_HUMAN^Q:291-1304(168)	1.2525	2.9605	4.2703	14.1	15.3137	7.4207	14.496
evm.model.Seg1594.1	1.6775	0.987	75.9213	52.7537	91.6383	25.1033	21.394
evm.model.Seg1597.12	1.6595	0.17	0.8053	3.2893	2.6017	1.2493	4.4715
evm.model.Seg1598.15	2.15	0.0	0.2607	0.4217	0.4047	2.549	1.125
evm.model.Seg1615.3	5.2135	6.5395	33.5457	263.6973	314.4643	541.1997	415.702
evm.model.Seg1615.7	2.208	0.654	5.303	3.688	1.448	2.3483	30.867
evm.model.Seg161.6.1.57f48f77	134.301	177.6745	129.4227	507.9993	193.3407	393.9417	362.286
evm.model.Seg161.7	308.1325	640.2055	899.0817	1572.1097	706.507	1558.3107	1742.0705
evm.model.Seg1617.2	0.7695	0.0	6.8437	1.4927	1.9733	3.0673	3.265
sp|Q9CQV3|SPB11_MOUSE^sp|Q9CQV3|SPB11_MOUSE^Q:79-1218(177)	5.546	3.9615	147.0563	109.913	91.1703	47.4197	44.64
evm.model.Seg16.2	0.9095	0.6005	1.874	3.7027	1.2837	0.5807	2.7475
sp|Q5IS66|5HT2C_PANTR^sp|Q5IS66|5HT2C_PANTR^Q:31-891	1.18	1.457	23.7293	21.8963	6.6113	6.351	16.033
evm.model.Seg1622.14	6.014	3.9315	21.227	19.0643	41.2363	61.8717	40.1205
evm.model.Seg1622.15	0.333	0.6695	1.3643	4.5337	5.377	3.4073	2.653
sp|Q91736|EPB1B_XENLA^sp|Q91736|EPB1B_XENLA^Q:662-1042	0.0	0.5455	0.4357	3.116	2.134	8.933	10.504
evm.model.Seg1622.8	0.47	0.0695	1.663	3.2067	4.3063	6.972	11.807
evm.model.Seg1622.9	0.1405	0.007	0.3687	0.6523	0.565	1.8157	1.7845
sp|Q99NF1|BCDO2_MOUSE^sp|Q99NF1|BCDO2_MOUSE^Q:319-1686	0.3065	0.0345	18.543	11.3773	5.8487	3.515	5.979
sp|Q925H0|ASIC2_MOUSE^sp|Q925H0|ASIC2_MOUSE^Q:1789-3078	0.1085	0.0475	0.519	0.396	0.3003	0.3053	0.455
sp|P26514|XYNA_STRLI^sp|P26514|XYNA_STRLI^Q:376-762	2.7315	0.203	96.759	66.447	76.4157	66.891	43.6605
sp|Q54I82|CDD_DICDI^sp|Q54I82|CDD_DICDI^Q:205-585	2.492	7.047	2.771	9.9873	11.4447	8.2797	28.202
sp|Q3UQ28|PXDN_MOUSE^sp|Q3UQ28|PXDN_MOUSE^Q:17-3655	1.2095	2.9285	2.2683	7.2437	8.8047	3.9873	4.673
evm.model.Seg164.10	0.5025	0.4885	0.67	0.2423	1.6683	1.9933	2.371
sp|Q8N441|FGRL1_HUMAN^sp|Q8N441|FGRL1_HUMAN^Q:407-1423	0.1165	1.782	2.3833	9.947	8.656	2.668	5.323
sp|Q7RTR0|NALP9_HUMAN^sp|Q7RTR0|NALP9_HUMAN^Q:307-1218	0.045	0.0	0.3567	0.339	0.5813	0.213	0.7165
sp|A8TX70|CO6A5_HUMAN^sp|A8TX70|CO6A5_HUMAN^Q:318-938	1.2145	1.106	6.6213	1.5313	6.984	28.2127	41.717
evm.model.Seg1648.4	4.729	1.494	50.3373	28.348	23.1337	37.153	39.2755
sp|O88281|MEGF6_RAT^sp|O88281|MEGF6_RAT^Q:588-3815	0.4575	0.4475	1.042	0.1873	0.6613	1.688	3.063
sp|P56282|DPOE2_HUMAN^sp|P56282|DPOE2_HUMAN^Q:1-1560	2.709	2.742	3.5003	10.0907	6.2103	4.6897	8.551
evm.model.Seg1662.11	1.56	0.984	1.804	0.1507	0.296	39.349	39.7415
sp|P48999|LOX5_MOUSE^sp|P48999|LOX5_MOUSE^Q:1237-2724	0.451	0.0415	0.3093	0.138	0.2603	18.3157	128.4285
sp|P09917|LOX5_HUMAN^sp|P09917|LOX5_HUMAN^Q:765-2159	1.7885	0.8735	1.312	1.41	1.9667	10.188	15.644
sp|A2BEA6|ARI3A_DANRE^sp|A2BEA6|ARI3A_DANRE^Q:22-363	0.3075	0.108	1.0037	2.9293	4.4517	3.2433	3.076
evm.model.Seg166.3	4.5405	3.217	2.2797	2.1567	14.1623	22.8173	32.042
sp|Q94887|NRX4_DROME^sp|Q94887|NRX4_DROME^Q:976-1449	5.9485	1.795	2.4977	0.9327	1.7257	12.058	10.017
sp|P48039|MTR1A_HUMAN^sp|P48039|MTR1A_HUMAN^Q:181-759	0.0195	0.294	0.1	0.2223	0.65	2.033	4.001
evm.model.Seg1666.21.2.57f48f77	0.2905	0.071	0.1407	0.3467	0.2743	0.5557	0.2225
sp|B4J780|LPHN_DROGR^sp|B4J780|LPHN_DROGR^Q:283-663	2.818	0.435	4.3607	5.297	3.3153	16.967	8.103
